#
# Linux system call numbers and entry vectors
#
# The format is:
# <number> <abi> <name> <entry point> <comment>
#
# The abi is always common for this file.
#
0       common  restart_syscall         sys_restart_syscall				/* ok */
174     common  rt_sigaction            sys_rt_sigaction				/* ok */
175     common  rt_sigprocmask          sys_rt_sigprocmask				/* ok */
176     common  rt_sigpending           sys_rt_sigpending				/* ok */
177     common  rt_sigtimedwait         sys_rt_sigtimedwait				/* ok */
178     common  rt_sigqueueinfo         sys_rt_sigqueueinfo				/* ok */
179     common  rt_sigsuspend           sys_rt_sigsuspend				/* ok */
180     common  pread64                 sys_pread64					/* ok */
181     common  pwrite64                sys_pwrite64					/* ok */
182     common  chown                   sys_chown					/* obsolete -> fchownat */
183     common  getcwd                  sys_getcwd					/* ok */
184     common  capget                  sys_capget					/* ok */
185     common  capset                  sys_capset					/* ok */
186     common  sigaltstack             sys_ni_syscall					/* remove */
187     common  sendfile                sys_sendfile					/* ok -> exist 64bit version*/
188     common  getpmsg                 sys_ni_syscall					/* remove */
189     common  putpmsg                 sys_ni_syscall
190     common  vfork                   sys_vfork
191     common  ugetrlimit              sys_getrlimit					/* remove - SuS compliant getrlimit */
192     common  mmap2                   sys_mmap2					/* ok */
193     common  truncate64              sys_truncate64					/* ok */
194     common  ftruncate64             sys_ftruncate64					/* ok */
195     common  stat64                  sys_stat64					/* remove _ARCH_WANT_STAT64 */
196     common  lstat64                 sys_lstat64					/* remove _ARCH_WANT_STAT64 */
197     common  fstat64                 sys_fstat64					/* remove _ARCH_WANT_STAT64 */
198     common  lchown32                sys_lchown					/* ok - without 32 */
199     common  getuid32                sys_getuid					/* ok - without 32 */
200     common  getgid32                sys_getgid					/* ok - without 32 */
201     common  geteuid32               sys_geteuid					/* ok - without 32 */
202     common  getegid32               sys_getegid					/* ok - without 32 */
203     common  setreuid32              sys_setreuid					/* ok - without 32 */
204     common  setregid32              sys_setregid					/* ok - without 32 */
205     common  getgroups32             sys_getgroups					/* ok - without 32 */
206     common  setgroups32             sys_setgroups					/* ok - without 32 */
207     common  fchown32                sys_fchown					/* ok - without 32 */
208     common  setresuid32             sys_setresuid					/* ok - without 32 */
209     common  getresuid32             sys_getresuid					/* ok - without 32 */
210     common  setresgid32             sys_setresgid					/* ok - without 32 */
211     common  getresgid32             sys_getresgid					/* ok - without 32 */
212     common  chown32                 sys_chown					/* ok - without 32 -obsolete -> fchownat */
213     common  setuid32                sys_setuid					/* ok - without 32 */
214     common  setgid32                sys_setgid					/* ok - without 32 */	
215     common  setfsuid32              sys_setfsuid					/* ok - without 32 */
216     common  setfsgid32              sys_setfsgid					/* ok - without 32 */
217     common  pivot_root              sys_pivot_root					/* ok */
218     common  mincore                 sys_mincore					/* ok */
219     common  madvise                 sys_madvise					/* ok */
220     common  getdents64              sys_getdents64					/* ok */
221     common  fcntl64                 sys_fcntl64					/* ok */
224     common  gettid                  sys_gettid					/* ok */
225     common  readahead               sys_readahead					/* ok */
226     common  setxattr                sys_setxattr					/* ok */
227     common  lsetxattr               sys_lsetxattr					/* ok */
228     common  fsetxattr               sys_fsetxattr					/* ok */
229     common  getxattr                sys_getxattr					/* ok */
230     common  lgetxattr               sys_lgetxattr					/* ok */
231     common  fgetxattr               sys_fgetxattr					/* ok */
232     common  listxattr               sys_listxattr					/* ok */
233     common  llistxattr              sys_llistxattr					/* ok */
234     common  flistxattr              sys_flistxattr					/* ok */
235     common  removexattr             sys_removexattr					/* ok */
236     common  lremovexattr            sys_lremovexattr				/* ok */
237     common  fremovexattr            sys_fremovexattr				/* ok */
238     common  tkill                   sys_tkill					/* ok */
239     common  sendfile64              sys_sendfile64					/* ok */
240     common  futex                   sys_futex					/* ok */
241     common  sched_setaffinity       sys_sched_setaffinity				/* ok */
242     common  sched_getaffinity       sys_sched_getaffinity				/* ok */
243     common  set_thread_area         sys_ni_syscall					/* remove */
244     common  get_thread_area         sys_ni_syscall					/* remove */
245     common  io_setup                sys_io_setup					/* ok */
246     common  io_destroy              sys_io_destroy					/* ok */
247     common  io_getevents            sys_io_getevents				/* ok */
248     common  io_submit               sys_io_submit					/* ok */
249     common  io_cancel               sys_io_cancel					/* ok */
250     common  fadvise64               sys_fadvise64					/* remove -> sys_fadvise64_64 */
252     common  exit_group              sys_exit_group					/* ok */
253     common  lookup_dcookie          sys_lookup_dcookie				/* ok */
254     common  epoll_create            sys_epoll_create				/* ok */
255     common  epoll_ctl               sys_epoll_ctl					/* ok */
256     common  epoll_wait              sys_epoll_wait					/* obsolete -> sys_epoll_pwait */
257     common  remap_file_pages        sys_remap_file_pages				/* only for mmu */
258     common  set_tid_address         sys_set_tid_address				/* ok */
259     common  timer_create            sys_timer_create				/* ok */
260     common  timer_settime           sys_timer_settime				/* ok */
261     common  timer_gettime           sys_timer_gettime				/* ok */
262     common  timer_getoverrun        sys_timer_getoverrun				/* ok */
263     common  timer_delete            sys_timer_delete				/* ok */
264     common  clock_settime           sys_clock_settime				/* ok */
265     common  clock_gettime           sys_clock_gettime				/* ok */
266     common  clock_getres            sys_clock_getres				/* ok */
267     common  clock_nanosleep         sys_clock_nanosleep				/* ok */
268     common  statfs64                sys_statfs64					/* ok */
269     common  fstatfs64               sys_fstatfs64					/* ok */
270     common  tgkill                  sys_tgkill					/* ok */
271     common  utimes                  sys_utimes					/* obsolete -> sys_futimesat */
272     common  fadvise64_64            sys_fadvise64_64				/* ok */
273     common  vserver                 sys_ni_syscall					/* ok */
274     common  mbind                   sys_mbind					/* only for mmu */
275     common  get_mempolicy           sys_get_mempolicy				/* only for mmu */
276     common  set_mempolicy           sys_set_mempolicy				/* only for mmu */
277     common  mq_open                 sys_mq_open					/* ok */
278     common  mq_unlink               sys_mq_unlink					/* ok */
279     common  mq_timedsend            sys_mq_timedsend				/* ok */
